property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
MEI FOO SUN CHUEN PHASE 4 97-99 Broadway,Mei Foo,3,7980000,50,752,FALSE,22.3355409,114.1416525,35,9,417,3,149,43,17,1,70,40,0
MONACO Phase 1 TOWER 2B,Kai Tak New Area,2,9000000,3,441,FALSE,22.3271632,114.1999535,47,13,325,3,274,50,34,3,128,32,1
Metro Harbour View Phase II Tower 10,Tai Kok Tsui,2,5600000,22,392,FALSE,22.3244104,114.1603631,27,11,927,7,360,77,44,7,220,59,6
FLORIENT RISE TOWER 2,Olympic Station,3,17400000,16,792,TRUE,22.3184328,114.1617941,19,3,998,5,318,85,45,6,212,64,6
THE HARMONIE,Cheung Sha Wan,2,7680000,2,329,FALSE,22.3365757,114.1584541,26,6,861,15,296,76,23,8,169,43,5
BOTANIA VILLA Block 2,Lam Tei,2,4000000,27,482,FALSE,22.417978,113.9860327,84,23,206,1,55,22,6,2,34,18,0
FESTIVAL CITY PHASE 3 Tower 3,Tai Wai,3,13500000,13,757,FALSE,22.370148,114.176375,39,6,438,10,100,51,6,10,60,28,1
HOI LOK COURT Block E (Hoi Tung House),Nam Cheong Station,2,6380000,6,480,FALSE,22.3275642,114.1495512,26,17,339,5,226,25,20,3,148,21,3
The Valley View,Happy Valley,1,6500000,33,428,FALSE,22.2677881,114.1862561,31,25,289,1,111,38,27,2,57,8,7
LIBERTE Block 5,Four Little Dragons,2,7800000,22,530,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
MONTEREY TOWER 3,Tseung Kwan O,3,14500000,7,710,TRUE,22.302423,114.2616222,49,10,227,3,163,20,7,5,26,24,0
TAI HING GARDENS PHASE 2 Tower 5,Tuen Mun North,2,4080000,31,475,FALSE,22.3991335,113.9712486,69,12,612,14,196,81,20,8,102,44,0
CITY ONE SHATIN Site 6 Block 24,City One Shatin,2,5000000,39,326,FALSE,22.3867692,114.2026412,47,11,417,6,138,60,15,5,65,27,1
Grand Garden,Sai Wan Ho,3,10500000,17,632,TRUE,22.2799845,114.2247735,29,6,486,8,134,59,22,5,62,28,20
SUN YUEN LONG CENTRE BLOCK 5,Yuen Long Station,3,9000000,31,870,TRUE,22.44488,114.0345455,59,7,460,3,109,42,14,4,45,38,1
Highland Park Tower 3,Lai King,3,5980000,26,571,FALSE,22.3497449,114.1302237,44,27,361,4,139,30,17,4,48,39,0
One Silversea Tower 3,Olympic Station,3,15800000,19,665,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
RAMBLER CREST TOWER 3,Tsing Yi,2,5300000,21,488,FALSE,22.34298,114.10991,48,34,168,4,72,24,5,2,21,10,0
ISLAND HARBOURVIEW TOWER 10,Olympic Station,2,9800000,25,520,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
THE LEIGHTON HILL TOWER 9,Happy Valley,2,38000000,23,924,FALSE,22.2752962,114.1832978,25,12,802,7,153,85,28,8,71,41,9
