property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
Y.I,Tai Hang Mid-Levels,3,18000000,24,825,FALSE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
CENTURY GATEWAY Phase 1 Tower 1,Tuen Mun Town Centre,4,12800000,12,858,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Beacon Heights Phase 4 Block 2,Lung Ping,3,10800000,38,809,FALSE,22.3422573,114.1677142,46,29,336,5,298,45,25,1,151,17,4
THE CULLINAN Tower 21 - Zone 5 (Star Sky),Kowloon Station,1,15000000,18,434,TRUE,22.3058221,114.1610169,17,34,361,3,133,21,24,4,111,36,3
Island Harbourview Tower 6,Olympic Station,3,13200000,25,700,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
PHOENIX COURT BLOCK B,Kowloon Tong,3,9000000,47,802,TRUE,22.3422762,114.1814981,44,13,437,5,301,79,38,1,108,28,1
LIBERTE Block 1,Four Little Dragons,2,7800000,22,491,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
MONACO ONE PHASE 2 MONACO MARINE TOWER 1A,Kai Tak New Area,1,7000000,2,326,FALSE,22.3267707,114.1993295,42,8,328,3,272,52,39,2,123,33,1
HILTON PLAZA Block D,Sha Tin,1,4200000,40,274,FALSE,22.379977,114.1867564,42,5,564,14,164,68,17,8,93,38,1
CENTURY LINK PHASE 1 Tower 3A,Tung Chung Town Centre,2,5600000,9,463,FALSE,22.29456,113.949751,60,21,149,2,36,10,8,4,4,9,1
COASTAL SKYLINE PHASE 4 LE BLEU DEUX Block 2,Tung Chung Town Centre,2,7500000,17,539,FALSE,22.2929778,113.9439573,66,12,194,2,53,16,8,3,8,13,1
H．BONAIRE,Ap Lei CHau,3,10500000,8,566,TRUE,22.2441984,114.1557008,29,17,507,10,87,63,12,8,36,36,1
Lohas Park Phase 9A Marini Tower 3 (3A),Lohas Park,2,9500000,4,598,FALSE,22.292955,114.2684663,50,10,68,2,43,8,0,0,1,7,0
CHI FU FA YUEN FU YAN YUEN (BLOCK H-8),Pok Fu Lam,3,7000000,46,588,FALSE,22.25696,114.1396906,38,74,219,5,89,27,9,2,28,17,1
MONACO ONE Phase 1 TOWER 2A,Kai Tak New Area,2,8900000,2,445,FALSE,22.3267707,114.1993295,42,8,328,3,272,52,39,2,123,33,1
SEAVIEW CRESCENT BLOCK 3,Tung Chung Town Centre,2,6380000,23,562,FALSE,22.292196,113.9421724,67,13,188,2,58,17,8,3,8,13,0
Celebrity Garden,Ho Man Tin,3,14000000,28,828,FALSE,22.3168106,114.1746239,23,8,1288,12,446,109,50,6,252,57,8
GENERAL BUILDING,Sai Ying Pun,3,7500000,44,553,FALSE,22.2882933,114.1421936,18,7,582,8,138,72,24,8,55,23,9
Viking Garden Block B,Causeway Bay,2,6180000,48,449,TRUE,22.2837935,114.1913531,19,4,654,6,166,83,25,4,88,46,4
LES SAISONS L Automne (Tower 3),Sai Wan Ho,3,17380000,23,762,FALSE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
Ching Lai Court Lai Hang House (Block A),Nob Hill,2,4360000,43,403,FALSE,22.3392112,114.1354225,35,9,312,2,105,38,13,1,36,20,0
TAIKOO SHING Kwun Hoi Terrace (T-45) Tung Hoi Mansion,Taikoo Shing,3,11000000,40,708,FALSE,22.2864362,114.2205741,30,10,436,7,110,58,14,6,62,28,19
YOHO TOWN Phase 2 Yoho Midtown Block M2,Yuen Long Station,3,8380000,15,608,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
Kam Fai Mansion,Mid-Levels Central,2,13880000,63,622,FALSE,22.2799907,114.1587983,23,6,774,1,124,54,29,1,50,76,15
THE MET. ACAPPELLA WING 2,Tai Wai,3,28000000,6,915,TRUE,22.3720455,114.1729416,44,25,390,8,94,41,6,10,61,26,1
VILLA BY THE PARK Block 5,Yuen Long Town Centre,3,5800000,22,583,TRUE,22.4448906,114.0183518,60,15,398,6,150,51,13,3,58,22,4
TAIKOO SHING TSUI WOO TERRACE (T-01) Tung Ting Mansion,Taikoo Shing,2,7180000,48,545,FALSE,22.2843489,114.2209905,28,4,495,7,110,68,14,7,61,32,20
Garden Rivera Block B,Sha Tin,1,4900000,40,242,FALSE,22.3808792,114.1953183,45,10,585,15,157,88,17,10,94,41,1
FLORIENT RISE Tower 2,Olympic Station,3,12180000,16,609,TRUE,22.3184328,114.1617941,19,3,998,5,318,85,45,6,212,64,6
POKFULAM GARDENS BLOCK 1,Pok Fu Lam,2,7600000,45,698,TRUE,22.2583228,114.1368002,33,69,228,5,70,21,6,2,18,19,0
MANHATTAN HEIGHTS,Kennedy Town,1,9680000,25,451,FALSE,22.283611,114.127306,19,7,310,6,106,47,21,4,37,16,1
SERENO VERDE Phase 4 La Pradera Tower 11,Yuen Long Southeast,2,4800000,23,463,FALSE,22.4515893,114.0534288,69,41,56,0,14,6,1,0,17,3,6
THE HENLEY PHASE 3 THE HENLEY III TOWER 3A,Kai Tak New Area,1,9000000,3,367,FALSE,22.3268315,114.1985102,41,8,362,3,284,57,40,2,127,32,1
The Grand Marine Tower 1,Tsing Yi,2,7500000,3,410,FALSE,22.3439865,114.1060175,48,37,229,5,76,36,5,4,21,12,0
TSUEN WAN CENTRE BLOCK 3 (HANGCHOW HOUSE),Tsuen King Circuit,2,3000000,45,324,TRUE,22.3784304,114.10731,49,29,295,2,120,33,13,3,88,9,0
Pak Fai Mansion,Mid-Levels Central,1,19800000,65,809,FALSE,22.2799907,114.1587983,29,6,774,1,124,54,29,1,50,76,15
TSING YI GARDEN BLOCK 7,Tsing Yi,3,6200000,38,547,FALSE,22.3535776,114.104947,38,15,510,9,117,75,5,6,32,34,0
GREENFIELDS BLOCK 2,Yuen Long Town Centre,2,5150000,26,446,FALSE,22.4415487,114.0325172,63,10,475,3,107,44,14,5,47,34,1
LOHAS PARK PHASE 4B WINGS AT SEA II Tower 3B,Lohas Park,2,7800000,6,540,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
TAIKOO SHING Tsui Woo Terrace (T-02) Poyang Mansion,Taikoo Shing,2,7380000,48,545,FALSE,22.2848144,114.2208474,29,5,485,7,110,66,14,7,61,30,20
GIOVANE,Cheung Sha Wan,2,5380000,9,341,TRUE,22.3358055,114.1494892,28,7,626,10,223,52,21,3,122,46,2
THE VISIONARY Tower 5,Tung Chung Town Centre,3,10800000,10,990,TRUE,22.2953239,113.9514626,65,28,102,1,32,5,8,1,3,6,1
Horace Court,Happy Valley,2,5280000,46,417,FALSE,22.2686345,114.1844474,29,24,334,1,119,43,27,2,58,8,8
LOHAS PARK PHASE 2A LE PRESTIGE Mona Lisa (Tower 1 - R Wing),Lohas Park,3,8100000,15,731,FALSE,22.2936102,114.2725783,52,10,63,2,43,7,0,0,1,7,0
VIBE CENTRO Tower 1B,Kai Tak New Area,1,6000000,6,358,TRUE,22.3278979,114.2009027,41,7,398,6,275,66,32,4,130,33,1
CENTURY GATEWAY Phase 1 Tower 2,Tuen Mun Town Centre,2,6500000,12,481,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
SHEUNG CHUI COURT BLOCK A (CHUI WU HOUSE),Tsuen Wan Town Centre,2,5100000,8,439,FALSE,22.3677278,114.1196821,47,20,906,19,235,104,29,7,135,61,0
Convention Plaza Apartments,Wan Chai,1,15000000,35,618,FALSE,22.2807473,114.1720816,11,8,746,6,104,67,30,5,64,43,12
Park Summit Tower 1,Tai Kok Tsui,1,5400000,13,332,TRUE,22.3204921,114.1632565,24,8,1230,6,368,109,45,8,229,74,6
FANLING CENTRE PHASE 1 Block B,Fanling,2,4600000,34,468,FALSE,22.490021,114.14195,60,7,429,8,131,65,20,5,34,24,2
METRO HARBOUR VIEW Phase I TOWER 1,Tai Kok Tsui,2,5600000,22,321,FALSE,22.3244104,114.1603631,27,11,927,7,360,77,44,7,220,59,6
CHUANG'S-ON-THE-PARK,Tai Hang,3,8500000,32,518,FALSE,22.2751881,114.1937244,24,16,391,5,178,61,24,1,81,20,7
VICTORIA SKYE Ocean Waves Tower 3,Kai Tak New Area,2,7500000,6,439,TRUE,22.3286136,114.2018788,42,6,451,7,261,70,34,7,128,39,1
THE PACIFICA Phase 1 Tower 2,Four Little Dragons,1,6900000,21,452,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Blessings Garden Phase 1,Mid-Levels West,3,16000000,30,819,FALSE,22.2815041,114.1483479,9,18,802,6,147,73,25,7,57,53,9
SHEUNGSHUI TOWN CENTER PARIS COURT (BLOCK 3),Sheung Shui,2,3750000,33,376,FALSE,22.5006685,114.1318352,61,7,521,6,133,87,22,3,40,31,2
Mantin Heights Tower 10,Ho Man Tin,2,11500000,8,539,TRUE,22.3173116,114.1821273,35,17,713,12,419,99,48,5,225,24,6
PARC OASIS Tower 14 (17 Parc Oasis Rd),Yau Yat Tsuen,2,9000000,32,603,FALSE,22.3343461,114.1751899,32,8,662,8,438,108,43,6,235,30,7
BAUHINIA GARDEN Tower 6,Tseung Kwan O,2,4000000,24,427,FALSE,22.3063701,114.2623159,42,4,310,6,185,32,7,5,32,19,0
K. CITY TOWER 9,Kai Tak New Area,1,6800000,7,348,TRUE,22.3285812,114.2012303,41,6,428,7,271,69,34,4,131,35,1
NO. 63 POK FU LAM ROAD Tower 2 (Emerald House),Mid-Levels West,1,7800000,5,271,FALSE,22.2852744,114.1379572,18,8,528,7,142,59,29,5,55,24,9
PROVIDENT CENTRE BLOCK 16,North Point,3,11800000,41,840,TRUE,22.2926063,114.1977709,24,6,461,7,166,44,5,6,70,23,4
Arezzo,Mid-Levels West,2,35000000,10,980,TRUE,22.2822943,114.1500466,12,13,836,4,140,74,24,7,53,66,10
THE VISIONARY TOWER 9,Tung Chung Town Centre,2,8180000,10,671,TRUE,22.2951812,113.9502777,67,29,119,1,32,6,8,2,3,6,1
BAUHINIA GARDEN Block 6,Hung Shui Kiu South New Development Area,2,3600000,30,506,TRUE,22.4306128,113.9943729,79,39,139,1,16,14,0,2,24,9,1
Sham Wan Towers Block 2,Yuk Kwai Shan Wan Poon,2,8500000,21,480,TRUE,22.2333333,114.15,40,14,30,0,53,9,9,0,32,3,1
Karin Court,Ho Man Tin,3,11000000,50,783,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
The Reach Tower 5,Yuen Long Southeast,2,3480000,11,355,TRUE,22.4372722,114.0333534,65,18,306,2,103,25,14,3,49,17,1
THE SOUTHSIDE PHASE 2 LA MARINA TOWER 2 (2B),Wong Chuk Hang,2,18000000,3,638,FALSE,22.2459691,114.16712,25,5,277,1,81,46,13,1,33,17,1
THE VISIONARY Tower 3,Tung Chung Town Centre,2,8500000,10,741,TRUE,22.2953677,113.9517414,62,24,101,1,32,5,8,1,3,6,1
OCEAN PRIDE Phase 3A Ocean Supreme TOWER 3B,Tsuen Wan West,2,10380000,6,527,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
TIERRA VERDE Phase 2 BLOCK 1,Tsing Yi,4,13880000,26,771,FALSE,22.3566035,114.107649,32,10,507,12,177,77,21,4,58,27,0
RIVIERA GARDENS Hoi Sing Mansion (Block 10),Tsuen Wan Hoi Bun,3,4980000,36,497,FALSE,22.360939,114.112819,47,31,456,4,262,52,30,3,100,44,0
GREENWOOD TERRACE BLOCK 22,Fo Tan,3,9950000,38,882,TRUE,22.3916826,114.1874314,57,47,311,6,119,17,16,8,71,24,0
NEW KWAI FONG GARDENS BLOCK C,Ha Kwai Chung,2,5100000,42,408,FALSE,22.3566848,114.1282714,33,1,574,5,190,61,27,7,88,53,0
EDEN MANOR TOWER 7,Sheung Shui,2,6000000,6,484,TRUE,22.4998804,114.1199967,74,25,259,4,81,25,22,1,27,25,1
THE VISIONARY Tower 6,Tung Chung Town Centre,2,7850000,10,670,TRUE,22.2952472,113.9509747,66,29,104,1,32,5,8,1,3,6,1
GRANDVIEW TOWER BLOCK B,Mid-Levels Central,3,17800000,47,800,TRUE,22.2799907,114.1587983,15,6,774,1,124,54,29,1,50,76,15
LEI KING WAN Sites B BLOCK 6 YAT HONG MANSION,Sai Wan Ho,2,6580000,37,485,FALSE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
Sun Court,Kennedy Town,2,6280000,45,457,FALSE,22.2859318,114.1322537,17,13,427,9,126,54,24,4,46,21,1
Well On Garden Block 1,Po Lam,2,4500000,31,351,TRUE,22.3241987,114.254131,50,7,316,5,170,44,10,5,47,18,0
Maple Gardens Phase 2,North Point,3,7000000,35,608,FALSE,22.2896113,114.1980314,24,6,526,7,173,51,8,6,70,28,5
CITY ONE SHATIN SITE 4 Block 41,City One Shatin,2,4080000,40,284,FALSE,22.3867692,114.2026412,47,11,417,6,138,60,15,5,65,27,1
TAI HANG TERRACE Block A,Tai Hang Mid-Levels,1,10150000,50,511,TRUE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
Grand Del Sol Block 10,Yuen Long Southeast,3,6300000,27,739,FALSE,22.4392575,114.033214,62,17,399,3,104,36,14,4,49,28,1
Park One,Sham Shui Po,3,6500000,6,419,TRUE,22.3263938,114.1605,31,9,998,12,373,79,32,10,218,58,6
CENTURY LINK PHASE 2 Tower 2B,Tung Chung Town Centre,2,5600000,9,453,FALSE,22.29456,113.949751,60,21,149,2,36,10,8,4,4,9,1
THE GRAND MARINE TOWER 1,Tsing Yi,4,10800000,3,806,FALSE,22.3439865,114.1060175,48,37,229,5,76,36,5,4,21,12,0
TSUEN WAN CENTRE BLOCK 17 (TAI YUAN HOUSE),Tsuen King Circuit,2,3550000,44,374,TRUE,22.3780704,114.107519,49,29,317,3,128,35,13,3,91,11,0
GREENVIEW VILLA TOWER 3,Tsing Yi,2,5300000,10,543,TRUE,22.3527959,114.1046494,39,16,497,9,108,76,5,7,30,33,0
CENTURY GATEWAY Phase 1 TOWER 5,Tuen Mun Town Centre,2,7500000,12,487,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
The Vertex West Wing,Cheung Sha Wan,1,5800000,3,338,FALSE,22.3359645,114.1577731,25,5,880,13,286,79,23,10,169,51,5
Grand Yoho Phase 1 Tower 1,Yuen Long Station,2,7800000,8,499,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
HONG SING GARDENS Block 3,Po Lam,3,4490000,36,588,TRUE,22.3194286,114.2533989,60,33,373,7,218,58,11,5,54,19,0
Sol City Tower 5,Long Ping,2,7150000,6,532,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Heya Aqua Tower 2,Cheung Sha Wan,1,5980000,9,408,TRUE,22.3389057,114.1545162,29,7,657,9,234,58,20,2,134,33,3
Parc Regal Tower 1,Ho Man Tin,3,13000000,30,677,FALSE,22.3152267,114.1766968,30,15,1171,13,421,106,44,6,238,58,7
The Rise,Tai Wo Hau,2,6800000,11,522,TRUE,22.3707884,114.1250588,34,0,803,13,223,100,25,8,138,46,0
PRIMROSE HILL TOWER 1,Tai Wo Hau,2,7600000,15,664,TRUE,22.371908,114.1300283,42,6,754,17,204,102,25,11,135,27,0
Carlton Mansion,Ho Man Tin,2,6900000,60,593,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
WILTON PLACE,Mid-Levels West,3,11800000,28,573,TRUE,22.2842062,114.1428104,14,4,652,8,146,79,29,8,59,25,9
FLEUR PAVILIA Tower 2,North Point,2,12500000,7,677,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
Baguio Villa Block 23,Pok Fu Lam,2,12800000,46,906,TRUE,22.2624141,114.1338761,31,51,160,0,57,11,6,0,11,16,0
BELAIR GARDENS Hoover Heights (Block H),Sha Tin,3,7800000,43,831,FALSE,22.3850281,114.1993886,48,16,512,13,153,72,18,8,82,28,1
Sol City Tower 3,Long Ping,3,11380000,6,725,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
YUCCIE SQUARE TOWER 2,Long Ping,2,5500000,8,429,TRUE,22.4467627,114.0278791,59,5,627,8,103,67,14,6,46,52,1
The Sail At Victoria,Kennedy Town,2,12380000,16,524,TRUE,22.2811209,114.1204091,26,14,184,4,73,33,9,2,27,12,0
Parkland Villas Block 5,Siu Hong,3,5500000,24,499,TRUE,22.4106042,113.9811225,73,7,311,2,118,20,11,4,58,30,0
GREENFIELDS Block 2,Yuen Long Town Centre,2,4850000,26,443,FALSE,22.4415487,114.0325172,63,10,475,3,107,44,14,5,47,34,1
Fleur Pavilia Tower 1,North Point,3,19500000,7,906,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
MONACO ONE PHASE 1 TOWER 2B,Kai Tak New Area,1,7500000,2,326,FALSE,22.3267707,114.1993295,42,8,328,3,272,52,39,2,123,33,1
SAVANNAH TOWER 5A,Tseung Kwan O,2,7900000,8,504,TRUE,22.305735,114.2638716,47,8,267,6,184,31,7,5,31,17,0
COME ON BUILDING,Chi Lok,2,2700000,43,326,FALSE,22.3888218,113.9800621,63,21,442,8,141,54,18,5,80,30,0
Park View Mansion,Tin Hau,3,13990000,51,776,FALSE,22.2832328,114.1921918,17,2,642,6,169,87,25,4,87,42,5
CELESTE COURT,Happy Valley,3,22500000,32,935,FALSE,22.2675962,114.1831137,30,25,286,1,115,40,29,2,57,6,8
Lohas Park PHASE 2C LA SPLENDEUR Tower 10,Lohas Park,3,7300000,12,683,FALSE,22.294876,114.2729942,50,8,62,2,46,7,0,0,1,7,0
Lohas Park PHASE 6 LP6 Tower 5,Lohas Park,1,4800000,5,290,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
FLEUR PAVILIA TOWER 1,North Point,3,17800000,7,781,TRUE,22.290069,114.2036932,20,10,477,6,166,47,4,3,68,27,5
Coastal Skyline PHASE 1 Block 3,Tung Chung Town Centre,2,6680000,23,490,FALSE,22.2917622,113.9454684,56,11,195,2,53,15,8,4,8,14,1
CHING CHUN COURT BLOCK A (CHUN HIN HOUSE),Tsing Yi,2,3580000,8,436,FALSE,22.3462232,114.1088697,59,35,279,5,107,44,5,4,31,16,0
CENTURY LINK PHASE 2 TOWER 1B,Tung Chung Town Centre,2,10000000,9,639,FALSE,22.29456,113.949751,60,21,149,2,36,10,8,4,4,9,1
GRAND PROMENADE Tower 2,Sai Wan Ho,2,8500000,20,490,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
NAN FUNG PLAZA Tower 6,Hang Hau,3,8900000,26,691,FALSE,22.3147268,114.2640324,41,4,487,9,207,55,10,6,43,35,0
PICTORIAL GARDEN PHASE 2 FORUM COURT (BLOCK B),Shek Mun,2,7800000,32,842,FALSE,22.395267,114.2086223,61,50,203,2,97,14,11,0,37,20,0
RAMBLER CREST Tower 6,Tsing Yi,3,7300000,21,690,FALSE,22.3438193,114.1103774,49,35,193,4,83,28,5,2,24,10,0
CITY ONE SHATIN SITE 5 Block 52,City One Shatin,2,4130000,39,284,FALSE,22.3871137,114.2032087,48,12,402,6,138,58,15,5,63,25,1
THE ARCH SKY TOWER (BLOCK 1),Kowloon Station,3,38000000,20,841,TRUE,22.3030965,114.1626909,22,30,482,2,108,29,25,5,100,40,3
Aria Kowloon Peak Tower 5,Choi Hung,1,6100000,15,421,TRUE,22.3390816,114.213743,53,19,378,9,180,43,19,8,78,34,1
LOHAS PARK PHASE 4B WINGS AT SEA II TOWER 5B,Lohas Park,2,6180000,6,474,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
EMERALD GREEN BLOCK 2,Yuen Long Town Centre,2,4900000,15,526,TRUE,22.438958,114.0202072,67,21,357,3,109,44,13,1,54,13,3
MERRY GARDEN BLOCK B,Mid-Levels Central,3,16800000,53,739,TRUE,22.2723141,114.17296,14,11,611,6,100,70,28,3,58,17,8
LEI KING WAN Sites D BLOCK 17 ON MING MANSION,Sai Wan Ho,3,8300000,37,635,FALSE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
SHAN LAI COURT Block D,Queen's Hill,2,3300000,3,447,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
METRO HARBOUR VIEW PHASE I Tower 6,Tai Kok Tsui,2,6000000,22,340,FALSE,22.3244104,114.1603631,27,11,927,7,360,77,44,7,220,59,6
YOHO TOWN PHASE 2 YOHO MIDTOWN BLOCK M6,Yuen Long Station,3,10500000,15,898,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
Yuk Ming Court Wai Ming House (Block A),Hang Hau,2,4950000,29,546,FALSE,22.3148869,114.2679158,54,14,389,7,187,47,10,3,41,22,0
NOB HILL Tower 2,Nob Hill,3,12800000,23,761,FALSE,22.3417077,114.1375023,33,7,313,2,117,41,13,1,42,21,0
GRAND DEL SOL BLOCK 2,Yuen Long Southeast,3,6800000,27,739,FALSE,22.4402825,114.0336322,65,13,424,3,107,35,14,4,47,28,1
SIU KING BUILDING,North Point,1,4850000,43,365,FALSE,22.290568,114.2011278,20,2,494,6,179,48,5,5,68,29,6
BELAIR GARDENS Admiralty Heights (Block A),Sha Tin,3,6580000,43,725,FALSE,22.3841665,114.197971,51,19,544,16,157,78,17,9,87,27,1
Lockhart House Block A,Causeway Bay,2,5900000,46,507,FALSE,22.280241,114.1811615,21,6,857,5,162,91,28,6,83,57,9
I‧Uniq Grand,Sai Wan Ho,3,10500000,12,647,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
SOUTH HORIZONS Phase 3 Mei Wah Court (Block 22),South Horizons,4,13500000,31,871,FALSE,22.2428712,114.1479134,27,1,357,7,94,39,10,8,43,30,1
REGENCY BAY PHASE 2 1座,Tuen Mun South,1,4000000,4,299,FALSE,22.3814816,113.9706456,62,25,458,10,138,60,13,7,70,24,1
THE WATERFRONT Phase 2 Tower 6,Kowloon Station,3,19500000,24,943,FALSE,22.3043214,114.1632224,17,4,641,4,131,33,22,4,109,48,3
THE ZENITH PHASE 1 Tower 3,Wan Chai,2,8900000,18,489,FALSE,22.2746805,114.1739378,11,5,720,7,101,80,28,5,58,35,8
GALAXIA TOWER D,Diamond Hill,3,8000000,27,593,FALSE,22.3412746,114.2021427,38,6,793,18,211,102,35,11,104,53,1
Manrich Court,Wan Chai,1,7790000,35,397,FALSE,22.2757268,114.1689597,15,8,713,5,108,72,29,3,61,42,15
SHAM WAN TOWERS Block 2,Yuk Kwai Shan Wan Poon,1,7600000,21,488,TRUE,22.2333333,114.15,40,14,30,0,53,9,9,0,32,3,1
WATERLOO HEIGHTS GARDEN,Ho Man Tin,3,6900000,59,651,FALSE,22.3192658,114.1773818,31,18,1118,12,455,91,55,6,256,48,8
AMOY GARDENS PHASE 3 BLOCK L,Kowloon Bay,1,3950000,40,322,FALSE,22.3266646,114.2078426,37,23,560,7,199,62,28,9,94,44,1
The Vertex West Wing,Cheung Sha Wan,2,7600000,3,435,FALSE,22.3359645,114.1577731,25,5,880,13,286,79,23,10,169,51,5
Ching Lai Court Lai Ning House (Block F),Nob Hill,2,4300000,44,403,FALSE,22.3386936,114.1345351,37,11,300,3,100,36,13,1,31,19,0
AVIGNON TOWER 1,So Kwun Wat,3,6400000,14,791,TRUE,22.374509,114.0017557,64,76,71,0,13,2,0,0,7,7,1
THE SAIL AT VICTORIA,Kennedy Town,2,11680000,16,497,TRUE,22.2811209,114.1204091,26,14,184,4,73,33,9,2,27,12,0
SERENO VERDE PHASE 1 Block 5,Yuen Long Southeast,2,3990000,24,460,FALSE,22.4359869,114.0307606,68,23,273,2,102,28,14,3,51,10,1
Horace Court,Happy Valley,2,5680000,46,410,FALSE,22.2686345,114.1844474,29,24,334,1,119,43,27,2,58,8,8
JOY FAT MANSION (HOUSE),Shek Tong Tsui,2,4380000,66,466,FALSE,22.2860209,114.1345993,16,10,480,7,130,58,28,7,51,26,5
Man Wai Building,Jordan,2,5000000,60,510,FALSE,22.3079307,114.1668786,25,8,975,6,206,73,29,4,150,62,6
GRAND PROMENADE TOWER 2,Sai Wan Ho,2,8980000,20,498,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
GRAND YOHO Phase 1 Tower 9,Yuen Long Station,2,6240000,8,519,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
Pearl City Mansion Block A,Causeway Bay,2,5500000,55,424,FALSE,22.2810532,114.1858291,17,2,768,7,180,96,27,4,92,49,9
Hoi Lok Court Block E (Hoi Tung House),Nam Cheong Station,1,4880000,6,391,FALSE,22.3275642,114.1495512,26,17,339,5,226,25,20,3,148,21,3
KINGSWOOD VILLAS PHASE 7 KENSWOOD COURT Block 1,Tin Shui Wai,2,3990000,30,442,FALSE,22.4583267,114.0055635,79,24,460,11,161,74,6,4,31,24,4
South Horizons PHASE 4 THE OASIS Grosvenor Court (Block 28),South Horizons,2,6980000,30,516,FALSE,22.243154,114.150396,29,3,435,10,98,47,10,8,41,31,1
ONE WEST KOWLOON TOWER 2,Four Little Dragons,4,12980000,11,963,FALSE,22.3034757,114.1602846,17,4,260,1,107,17,24,2,96,33,3
VILLA BY THE PARK BLOCK 2,Yuen Long Town Centre,2,3800000,22,398,TRUE,22.4452186,114.0183138,66,13,391,6,153,51,13,3,58,22,4
Sol City Tower 1,Long Ping,1,5200000,6,333,TRUE,22.4475022,114.0254189,48,0,592,8,109,66,14,6,49,42,2
Twin Regency Tower 1,Long Ping,2,4500000,8,454,TRUE,22.4524331,114.0299407,65,12,357,5,98,33,14,5,44,41,1
EDITION 178,Ha Kwai Chung,1,3850000,7,225,TRUE,22.355777,114.131286,40,11,508,2,184,60,25,5,79,50,0
Sausalito Tower 7,Ma On Shan,3,8100000,17,701,FALSE,22.4119818,114.2228347,63,5,193,7,70,28,8,1,26,9,0
The Reach Tower 7,Yuen Long Southeast,2,3500000,11,357,TRUE,22.4368793,114.0336322,76,32,272,2,103,20,14,3,48,11,1
PARK SIGNATURE TOWER 8,Shap Pat Heung,3,6350000,11,723,TRUE,22.436503,114.0237757,69,25,315,1,100,38,13,2,53,11,3
YOHO TOWN Phase 1 BLOCK 2,Yuen Long Station,3,6500000,21,516,FALSE,22.4515045,114.0523365,67,42,50,0,18,5,1,0,16,3,6
THE BRAND,Yuen Long Southeast,3,5480000,16,738,FALSE,22.4445376,114.0222076,64,10,522,6,122,62,14,6,52,28,3
AMOY GARDENS PHASE 1 Block D,Kowloon Bay,1,4650000,44,375,FALSE,22.3266646,114.2078426,37,23,560,7,199,62,28,9,94,44,1
TIN SHING COURT SHING YUET HOUSE (BLOCK J),Tin Shui Wai,3,4300000,25,650,FALSE,22.4468984,114.0027851,65,7,323,7,154,47,4,3,35,21,3
High One,Cheung Sha Wan,2,12800000,9,534,TRUE,22.3387766,114.1528067,29,7,628,9,225,61,23,3,126,38,3
One Pacific Heights,Sheung Wan,3,15000000,16,750,FALSE,22.2865819,114.1466988,18,11,716,6,139,73,24,7,57,37,9
The Grandiose Block 1,Tseung Kwan O,3,14000000,19,766,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
Jadeview Court,Shek Tong Tsui,2,5600000,31,325,FALSE,22.285179,114.1351824,16,8,518,8,138,63,28,7,51,28,6
